"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 09 19:42:38 GMT 2024","Sat Nov 09 19:42:47 GMT 2024","9404","Surefire suite","firefox","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutName","User should not be able to create build type without name",""
"passed","Sat Nov 09 19:40:48 GMT 2024","Sat Nov 09 19:40:56 GMT 2024","7751","Surefire suite","Surefire test","com.teamcity.api.SetupAgentTest","com.teamcity.api.SetupAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Sat Nov 09 19:41:22 GMT 2024","Sat Nov 09 19:41:24 GMT 2024","1741","Surefire suite","Surefire test","com.teamcity.api.StartBuildTest","com.teamcity.api.StartBuildTest","userStartsBuildWithWireMockTest","User should be able to start build (with WireMock)",""
"passed","Sat Nov 09 19:41:24 GMT 2024","Sat Nov 09 19:41:27 GMT 2024","2826","Surefire suite","Surefire test","com.teamcity.api.SearchTest","com.teamcity.api.SearchTest","searchTest","User should be able to search models",""
"passed","Sat Nov 09 19:38:49 GMT 2024","Sat Nov 09 19:39:40 GMT 2024","50277","Surefire suite","chrome","com.teamcity.ui.SetupServerTest","com.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sat Nov 09 19:41:29 GMT 2024","Sat Nov 09 19:41:29 GMT 2024","243","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeWithIdExceedingLimitTest","User should not be able to create build type with id exceeding the limit",""
"passed","Sat Nov 09 19:42:17 GMT 2024","Sat Nov 09 19:42:26 GMT 2024","9088","Surefire suite","firefox","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Sat Nov 09 19:41:29 GMT 2024","Sat Nov 09 19:41:29 GMT 2024","261","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sat Nov 09 19:41:29 GMT 2024","Sat Nov 09 19:41:29 GMT 2024","233","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithSameIdTest","User should not be able to create two build types with the same id",""
"passed","Sat Nov 09 19:42:13 GMT 2024","Sat Nov 09 19:42:21 GMT 2024","7780","Surefire suite","chrome","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Sat Nov 09 19:41:30 GMT 2024","Sat Nov 09 19:41:30 GMT 2024","123","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectTest","User should be able to create project",""
"passed","Sat Nov 09 19:42:30 GMT 2024","Sat Nov 09 19:42:38 GMT 2024","8202","Surefire suite","chrome","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutName","User should not be able to create build type without name",""
"passed","Sat Nov 09 19:41:14 GMT 2024","Sat Nov 09 19:41:22 GMT 2024","8460","Surefire suite","Surefire test","com.teamcity.api.StartBuildTest","com.teamcity.api.StartBuildTest","userStartsBuildTest","User should be able to start build",""
"passed","Sat Nov 09 19:41:28 GMT 2024","Sat Nov 09 19:41:28 GMT 2024","346","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Sat Nov 09 19:41:28 GMT 2024","Sat Nov 09 19:41:28 GMT 2024","126","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","unauthorizedUserCreatesBuildTypeTest","Unauthorized user should not be able to create build type",""
"passed","Sat Nov 09 19:41:30 GMT 2024","Sat Nov 09 19:41:30 GMT 2024","250","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userDeletesBuildTypeTest","User should be able to delete build type",""
"passed","Sat Nov 09 19:41:30 GMT 2024","Sat Nov 09 19:41:30 GMT 2024","164","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithIdExceedingLimitTest","User should not be able to create project with id exceeding the limit",""
"passed","Sat Nov 09 19:41:31 GMT 2024","Sat Nov 09 19:41:31 GMT 2024","190","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userDeletesProjectTest","User should be able to delete project",""
"passed","Sat Nov 09 19:41:30 GMT 2024","Sat Nov 09 19:41:30 GMT 2024","39","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","unauthorizedUserCreatesProjectTest","Unauthorized user should not be able to create project",""
"passed","Sat Nov 09 19:41:30 GMT 2024","Sat Nov 09 19:41:30 GMT 2024","156","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesTwoProjectsWithSameIdTest","User should not be able to create two projects with the same id",""
"passed","Sat Nov 09 19:41:10 GMT 2024","Sat Nov 09 19:41:55 GMT 2024","45403","Surefire suite","chrome","com.teamcity.ui.StartBuildTest","com.teamcity.ui.StartBuildTest","userCreatesBuildTypeStepAndStartsBuildTest","User should be able to create build type step and start build",""
"passed","Sat Nov 09 19:42:21 GMT 2024","Sat Nov 09 19:42:30 GMT 2024","8501","Surefire suite","chrome","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sat Nov 09 19:41:28 GMT 2024","Sat Nov 09 19:41:28 GMT 2024","202","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Sat Nov 09 19:41:03 GMT 2024","Sat Nov 09 19:41:55 GMT 2024","52611","Surefire suite","firefox","com.teamcity.ui.StartBuildTest","com.teamcity.ui.StartBuildTest","userCreatesBuildTypeStepAndStartsBuildTest","User should be able to create build type step and start build",""
"passed","Sat Nov 09 19:41:56 GMT 2024","Sat Nov 09 19:42:13 GMT 2024","17210","Surefire suite","chrome","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sat Nov 09 19:41:56 GMT 2024","Sat Nov 09 19:42:16 GMT 2024","19646","Surefire suite","firefox","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sat Nov 09 19:42:27 GMT 2024","Sat Nov 09 19:42:37 GMT 2024","10235","Surefire suite","firefox","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
