"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 18 12:54:11 GMT 2024","Wed Dec 18 12:54:11 GMT 2024","223","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Wed Dec 18 12:54:59 GMT 2024","Wed Dec 18 12:55:09 GMT 2024","9301","Surefire suite","firefox","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Wed Dec 18 12:53:52 GMT 2024","Wed Dec 18 12:54:04 GMT 2024","12219","Surefire suite","Surefire test","com.teamcity.api.StartBuildTest","com.teamcity.api.StartBuildTest","userStartsBuildTest","User should be able to start build",""
"passed","Wed Dec 18 12:54:13 GMT 2024","Wed Dec 18 12:54:13 GMT 2024","51","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","unauthorizedUserCreatesProjectTest","Unauthorized user should not be able to create project",""
"passed","Wed Dec 18 12:54:05 GMT 2024","Wed Dec 18 12:54:06 GMT 2024","1902","Surefire suite","Surefire test","com.teamcity.api.StartBuildTest","com.teamcity.api.StartBuildTest","userStartsBuildWithWireMockTest","User should be able to start build (with WireMock)",""
"passed","Wed Dec 18 12:53:29 GMT 2024","Wed Dec 18 12:53:37 GMT 2024","7931","Surefire suite","Surefire test","com.teamcity.api.SetupAgentTest","com.teamcity.api.SetupAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Wed Dec 18 12:54:11 GMT 2024","Wed Dec 18 12:54:11 GMT 2024","165","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Wed Dec 18 12:55:10 GMT 2024","Wed Dec 18 12:55:20 GMT 2024","10124","Surefire suite","firefox","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Wed Dec 18 12:54:52 GMT 2024","Wed Dec 18 12:54:59 GMT 2024","6858","Surefire suite","chrome","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Wed Dec 18 12:54:39 GMT 2024","Wed Dec 18 12:54:59 GMT 2024","19710","Surefire suite","firefox","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
